annotation_approver,created_at,id,label,text,updated_at,user
,2021-01-18T18:50:32.891469Z,3,1,"Mary a le grand mérite d'aborder un sujet pas si couramment proposé au cinéma, celui de la place et de la vie des enfants surdoués dans notre monde formaté... Malgré un traitement très américain et pour cause, le film de Marc Webb s'appuie sur une petite actrice très surprenante Mckenna Grace, dont la présence plus que naturelle, à laquelle s'ajoute une aisance incroyable, nous laisse les bras ballants ! La petite Mary ne pouvait pas mieux être interprétée ! Tour à tour, revêche, boudeuse, enjouée, critique et soudainement souriante et amusée, on reste impressionné par sa facilité à jouer et à s'adapter aux différents contextes de cette histoire dans lesquels elle est prise au piège ! À ce niveau, la problématique de son éducation est plutôt bien vue, entre cet oncle assez touchant qui veut protéger sa part d'enfance et d'innocence, et cette grand-mère dure et exigeante qui ne voit que les capacités et le devenir de sa petite-fille, comme elle l'était aussi pour son propre enfant, jusqu'à lui voler ainsi sa vie... La réussite, le meilleur pour le meilleur, l'excellence mais jusqu'où et pourquoi ? C'est ici tout l'enjeu du film qui pose très bien les tenants et les aboutissants de l'éducation dont aurait besoin Mary et à travers elle, tous ces enfants surdoués, et ce dans chaque domaine, que ce soient les matières traditionnelles, la musique mais aussi le sport... Comment trouver l'équilibre essentiel à leur bon et sain développement ? Au dela de certains passages superflus, il émane de certains moments ou échanges, des remarques très révélatrices de la personnalité et des attentes de chacun des adultes qui entourent Mary.  Le procès met justement à ce titre, un règlement de compte cinglant et effroyable de la grand-mère envers l'avocat de son fils ! Un raisonnement inflexible et radical qui fait froid dans le dos... Mis bout à bout, ce film prend donc une certaine épaisseur, en dégageant un trouble bien palpable qui envahit tous ceux concernés par la vie de cette petite fille pas comme les autres.  On se dit alors qu'une telle histoire débarrassée de son côté un peu trop romance, avec une mise en scène plus dépouillée, aurait donné une portée encore bien plus efficace... Mais grâce à ce témoignage très sincère et humain, il se dégage avant tout une bonne réflexion sur l'éducation et le quotidien de ces petits surdoués !,",2021-01-18T18:50:32.891469Z,1
,2021-01-18T18:51:33.225805Z,4,1,"Un film qui fait beaucoup de bien ! Marc Webb s'attaque aux difficultés d'être parent, et en particulier ici d'être un parent « oncle » qui doit élever sa nièce surdouée. Quels choix sont les bons ? Et surtout Mary pourra t-elle avoir une enfance normale, qu'est-ce que sa mère aurait voulu ? Autant de questions posées dans cette histoire à laquelle Franck va tenter de répondre. La jeune actrice incarnant Mary est tout simplement adorable, elle a fait grande sensation. On oscille entre émotion, tristesse, joie et beaucoup d'humour. Un très beau film familial que je vous recommande. cinephile-critique.over-blog.com",2021-01-18T18:51:33.225805Z,1
,2021-01-20T11:31:30.586159Z,99,0,"Un film qui se veut en phase avec son époque et qui prône un catéchisme féministe des plus indigeste avec son inévitable lot de clichés sur ces pauvres """"mâles"""" devenus les faire-valoir d'une rhétorique ridiculement caricaturale.   Le cinéma français serait-il capable d'autre chose que cet hymne à la bienpensance dégoulant de moraline ?",2021-01-20T11:31:30.586159Z,1
,2021-01-20T13:02:20.521570Z,199,0,"Écoeurant. L'abus de sucre c'est mauvais pour la santé. L'abus de clichés aussi. Trop de patriotisme, trop de héros, trop d'actions héroïques, trop d'effets spéciaux abusés, trop de phrases moralistes bidons... On aurait pu appeler le film Call of Duty opération Midway. Heureusement que je suis pas un expert en histoire parce que je pense que j'aurai fais un AVC.",2021-01-20T13:02:20.521570Z,1
,2021-01-18T18:51:41.453564Z,5,1,"Le duo Chris Evans et Mckenna grace est parfait . Cette petite joue merveilleusement bien . Magnifique film très touchant , psychologique et traitant de faits actuels encore mals connus ... (surdouance, meilleure garde pour un enfant , mère perverse narcissique). Une très belle histoire. Chris Evans joue très bien dans ce genre de film, ça lui colle à la peau. Dommage qu'on insiste plus sur ce côté génie du surdoué (qui est un cliché car c est d'abord un cerveau qui fonctionne différemment ,pas toujours un génie en maths ...) plutôt que sur le côté différent du surdoué (on voit pas mal de choses mais pas assez je trouve pour casser le cliché du surdoué=génie) .",2021-01-18T18:51:41.454561Z,1
,2021-01-18T18:51:57.781917Z,6,1,"Mary, c'est E.T. ! Avec tout l'amour et toute l'admiration que l'on peut porter à cette frêle créature. Comme lui, Mary est très très intelligente et comme lui, elle fait un peu peur. Comme lui, elle est seule au milieu de plein de terrestres normaux. Comme lui, elle est obligée de se comporter en enfant (presque) sage pour ne pas se faire trop remarquer avec le risque de se faire embarquer dans une école expérimentale qui décortiquera ses fabuleuses capacités intellectuelles et la transformera en rat de laboratoire. C'est pour répondre au vœu de sa sœur décédée (elle-même une grande mathématicienne) qui souhaitait que sa fille ait une vie normale et qu'elle fréquente des enfants de son âge au lieu de rester enfermée dans ses livres, que son oncle (Chris Evans magnifique de sobriété) va faire entrer Mary pour la première fois à l'école communale. Il sait que cette enfant de 7 ans est surdouée et que ça ne va pas être facile. Mary, très conscience de ses capacités, le sait elle aussi. Et pour ne pas arranger les choses, sa grand-mère maternelle, le sait elle aussi qui va s'opposer à cette décision par tous les moyens. Être surdoué pour un enfant n'est pas forcément signe de bonheur, de joie de vivre et de réussite. Etre surdoué peut-être un poids, une prison, une angoisse. Pour qu'il s'épanouisse, malgré ses capacités hors normes, tout dépend alors de l'environnement (scolaire, familial, social) dans lequel l'enfant surdoué va évoluer. Trop ou pas assez et son caractère peut virer de la tyrannie à la schizophrénie. Mary est un beau film, humain, drôle, intelligent, sensé, émouvant et vif ! Les deux partis pris (celui de l'oncle qui veut que Mary ait une vie normale avec des enfants de son âge et celui de la grand-mère qui veut immédiatement la pousser vers les sommets en la faisant éduquer par des savants) sont exposés dans ce film de façon si forte et si claire que le spectateur est proprement écartelé entre ces deux positions, ressentant profondément, presque à la place de Mary, les qualités et les défauts de ces deux conceptions de l'éducation. Comme nous l'avons dit plus haut, on pense à E.T. en dévorant ce film, tant Mary ressemble à une extraterrestre esseulée seulement protégée par son oncle/Eliott et traquée par tous les scientifiques du monde. Ce superbe film nous fait également penser au remarquable Captain Fantastic où là aussi deux conceptions de l'éducation des enfants s'affrontent tout en laissant au spectateur l'intelligence de se forger sa propre opinion et son ressenti profond. Ceci dit, rappelons que nous sommes au cinéma et non pas dans un séminaire d'étude scientifique consacré aux enfants surdoués. Il y a donc sans doute quelques exagérations (Les équations que Mary résout font d'elle un pur génie et pas simplement une surdouée !) mais ce film est une palpitante approche de l'univers de ces enfants décidément pas comme les autres. A ce titre, nous sommes heureux d'accueillir Mary dans notre sélection comme le grand Film Bonheur qu'il est, c'est-à-dire plein d'émotion, d'humour, d'inattendu, de rythme et bien sûr par-dessus tout d'humanité",2021-01-18T18:51:57.781917Z,1
,2021-01-18T18:52:46.241630Z,7,1,"A l’instar du titre on ne peut plus simple, Mary est un film tout simple, sans prétention aucune si ce n’est d’aborder une vaste problématique, d’une importance capitale. Le synopsis présenté se résume à une ligne et demie à l’instant où j’écris ces mots. Cela ne veut pas dire que le scénario soit dénué d’intérêt : en dire davantage risquerait de spoiler une grande partie de l’œuvre. Vu ce qui est révélé, on pense se diriger vers un long combat juridique pour obtenir la garde de la gamine, peut-être un peu à la Kramer contre Kramer (1979). Certes c’est un peu le cas (j’ai bien dit un peu), mais en réalité ça va beaucoup plus loin. Je viens de vous le dire, une vaste problématique est présentée, amenant de nombreuses questions, toutes liées entre elles. Tout commence sur une tranche de vie, apparemment anodine : le premier jour d’école de Mary. Sauf que ce premier jour d’école n’est pas si anodin, puisqu’il provoque tout ce qui va suivre. Ce qui frappe d’entrée, c’est le jeu d’actrice de la jeune Mckenna Grace. Elle campe une petite Mary au caractère bien trempé, qui ne manque pas de rappeler Vada dans My girl (1991), interprétée alors avec beaucoup de justesse par une jeune actrice prometteuse répondant au nom d’Anna Chlumsky. Mckenna Grace supporte très bien la comparaison, et va même au-delà car elle amène un certain nombre de scènes intéressantes de par le large panel de sentiments présenté. Sa performance a certes été facilitée par une réalisation sage, un scénario qui ne va pas trop vite en besogne, et une mise en scène maîtrisée. Les moments d’intimité ont su être captés, en témoigne cette séquence de grande discussion entre la gosse et son oncle sur un magnifique coucher de soleil rougeoyant, un moment d’échange aussi précieux que la beauté du crépuscule. La photographie s’en retrouve intéressante, voire sublimée, et le spectateur ne peut qu’éprouver une sorte de plaisir reconnaissant d’assister à ce genre de scène, un peu comme s’il était pris à témoin de cette bonne entente. Il retrouvera cette sensation à plusieurs reprises, notamment lorsqu’à nouveau, Frank et Mary discutent dans un recoin de la maison. Mais le spectateur vivra aussi des moments forts. Que dis-je ? Poignants ! Si poignants que la larmichette risque bien de se manifester et vous remuera les sens. Je vous le dis, Mckenna Grace est épatante en donnant parfaitement la réplique à Chris Evans. On peut même dire qu’elle lui vole la vedette, ce qui parait juste en regard du titre, qui est en fait un rôle-titre. On doit reconnaître une belle complicité entre ces deux acteurs, tout en gardant cette sorte de détachement lié à une relation presque plus amicale qu’une vraie relation père/fille, ce qui a le don de crédibiliser davantage le propos. Loin, très loin de son rôle de super-héros Captain America, l’acteur change totalement de registre en endossant le rôle d’un tuteur soucieux du bien-être de sa protégée. Certains spectateurs pourront le trouver un peu trop sage, un peu trop ténébreux, tout du moins un peu trop replié sur lui-même, ou encore un peu trop tourmenté. C’est oublier qu’être parent n’est pas un métier facile, et encore moins quand on doit élever un enfant qui n’est pas le sien. A plus forte raison quand cet enfant a une particularité. C’est une des questions posées par ce film : jusqu’où peut-on décider à la place de l’enfant ? Une question qui en amène d’autres, qu’on pourrait qualifier pour certaines de subsidiaires, quoique inévitables car importantissimes : que doit-on faire pour le bien-être de l’enfant ? que peut-on faire pour cela ? En attendant, les maladresses de Frank n’ont pas été bannies pour argumenter le récit, et c’est judicieux car il demeure une grande peur que tout parent qui se respecte vit à un degré plus ou moins différent : celui de gâcher la vie de l’enfant. Une peur viscérale nommément exposée et à laquelle il est difficile de répondre. D’ailleurs aucune réponse n’est explicitement apportée à cette grande crainte, en l’occurrence par le personnage de la charmante institutrice Bonnie, interprétée par une non moins charmante Jenny Slate. Oui, elle est charmante, car elle casse l’image de l’institutrice droite, sage, voire rigide. Qui pourrait croire qu’une institutrice pourrait être dévergondée, au point de se laisser traîner dans les bars, et de se laisser aller à une romance disons… pas tout à fait dans l’ordre des choses ? Quand vous amenez vos enfants à l’école, regardez bien ces enseignantes. Difficile d’imaginer qu’elles puissent être libérées de la sorte, tant on s’en fait un archétype et pourtant… si on y réfléchit bien, ce sont des gens comme vous et moi. Pour en revenir aux problématiques posées, des éléments de réponses sont cependant apportés sur diverses choses. En témoigne cette longue attente dans la salle d’attente : difficile d’avoir une réponse plus explicite ! Elle est tout simplement géniale",2021-01-18T18:52:46.241630Z,1
,2021-01-20T11:30:47.398444Z,97,0,une bonne idée à la base mais mal exploité. des changements de comportement un peu incompréhensible chez les hommes et une fin que j attend toujours....,2021-01-20T11:30:47.398444Z,1
,2021-01-20T11:34:09.013935Z,107,0,"J'étais parti pour le voir, avant de me rendre compte qu'il ne passait pas dans le cinéma de ma ville, et comme je n'étais pas suffisamment motivé pour le voir ailleurs... Puis l'occasion s'est présentée, confirmant que j'aurais pu m'en passer sans trop de mal. Difficile de faire plus prévisible (hormis le dénouement, j'y reviendrais), limitant grandement l'intérêt pour l'histoire, Mohamed Hamidi ayant jugé opportun d'imaginer des caricatures de caricatures chez les joueurs et la direction, rendant certains aspects pas du tout crédibles, pour ne pas dire carrément ridicules",2021-01-20T11:34:09.013935Z,1
,2021-01-18T18:54:28.561720Z,8,1,"J'ai été très touchée par ce beau film familial, sincère et intelligent. Ce drame est très poignant et émouvant. C'est vraiment un très joli film.",2021-01-18T18:54:28.561720Z,1
